,dataset_id,experiment_id,train_time,pred_time,accuracy,meta_params,data_params,model_name,model_index
0,1,1,0.33738207817077637,0.001760721206665039,0.29,"{'is_classification': True, 'train_test_split': 0.2, 'random_state': 4}","{'n_samples': 7000, 'n_features': 200, 'n_informative': 100, 'n_classes': 7, 'n_redundant': 40, 'n_repeated': 40, 'random_state': 4}",RandomForestClassifier,0
1,1,2,3.8136210441589355,0.0008273124694824219,0.21928571428571428,"{'is_classification': True, 'train_test_split': 0.2, 'random_state': 4}","{'n_samples': 7000, 'n_features': 200, 'n_informative': 100, 'n_classes': 7, 'n_redundant': 40, 'n_repeated': 40, 'random_state': 4}",DecisionTreeClassifier,1
2,1,3,232.5442235469818,0.13124322891235352,0.16,"{'is_classification': True, 'train_test_split': 0.2, 'random_state': 4}","{'n_samples': 7000, 'n_features': 200, 'n_informative': 100, 'n_classes': 7, 'n_redundant': 40, 'n_repeated': 40, 'random_state': 4}",ForestBasedTree,2
3,1,4,54806.660606622696,57.34864950180054,0.14,"{'is_classification': True, 'train_test_split': 0.2, 'random_state': 4}","{'n_samples': 7000, 'n_features': 200, 'n_informative': 100, 'n_classes': 7, 'n_redundant': 40, 'n_repeated': 40, 'random_state': 4}",PrevPaperClassifier,3
