,dataset_id,experiment_id,train_time,pred_time,accuracy,meta_params,data_params,model_name,model_index
0,1,1,0.12413811683654785,0.001848459243774414,0.5230769230769231,"{'is_classification': True, 'train_test_split': 0.2, 'random_state': 8}","{'n_samples': 1300, 'n_features': 100, 'n_informative': 30, 'n_classes': 4, 'n_redundant': 30, 'n_repeated': 5, 'random_state': 8}",RandomForestClassifier,0
1,1,2,2.117638111114502,0.0004584789276123047,0.4846153846153846,"{'is_classification': True, 'train_test_split': 0.2, 'random_state': 8}","{'n_samples': 1300, 'n_features': 100, 'n_informative': 30, 'n_classes': 4, 'n_redundant': 30, 'n_repeated': 5, 'random_state': 8}",DecisionTreeClassifier,1
2,1,3,81.0179488658905,0.05626678466796875,0.3076923076923077,"{'is_classification': True, 'train_test_split': 0.2, 'random_state': 8}","{'n_samples': 1300, 'n_features': 100, 'n_informative': 30, 'n_classes': 4, 'n_redundant': 30, 'n_repeated': 5, 'random_state': 8}",ForestBasedTree,2
3,1,4,7882.977748155594,6.32469916343689,0.31153846153846154,"{'is_classification': True, 'train_test_split': 0.2, 'random_state': 8}","{'n_samples': 1300, 'n_features': 100, 'n_informative': 30, 'n_classes': 4, 'n_redundant': 30, 'n_repeated': 5, 'random_state': 8}",PrevPaperClassifier,3
