,dataset_id,experiment_id,train_time,pred_time,accuracy,meta_params,data_params,model_name,model_index
0,1,1,0.11224603652954102,0.0020351409912109375,0.7438461538461538,"{'is_classification': True, 'train_test_split': 0.2, 'random_state': 2}","{'n_samples': 13000, 'n_features': 15, 'n_informative': 8, 'n_classes': 3, 'n_redundant': 1, 'n_repeated': 2, 'random_state': 2}",RandomForestClassifier,0
1,1,2,1.246173620223999,0.0005669593811035156,0.7426923076923077,"{'is_classification': True, 'train_test_split': 0.2, 'random_state': 2}","{'n_samples': 13000, 'n_features': 15, 'n_informative': 8, 'n_classes': 3, 'n_redundant': 1, 'n_repeated': 2, 'random_state': 2}",DecisionTreeClassifier,1
2,1,3,107.99078559875488,0.20728254318237305,0.45346153846153847,"{'is_classification': True, 'train_test_split': 0.2, 'random_state': 2}","{'n_samples': 13000, 'n_features': 15, 'n_informative': 8, 'n_classes': 3, 'n_redundant': 1, 'n_repeated': 2, 'random_state': 2}",ForestBasedTree,2
3,1,4,19114.10964536667,8.426047801971436,0.5119230769230769,"{'is_classification': True, 'train_test_split': 0.2, 'random_state': 2}","{'n_samples': 13000, 'n_features': 15, 'n_informative': 8, 'n_classes': 3, 'n_redundant': 1, 'n_repeated': 2, 'random_state': 2}",PrevPaperClassifier,3
