,dataset_id,experiment_id,train_time,pred_time,mse,mae,r2,target_avg,target_var,target_mad,meta_params,data_params,model_name,model_index
0,1,1,0.18292880058288574,0.0007641315460205078,57253.75344081469,195.13356112497814,0.41221418565942114,0.1745262232780151,117681.77643050368,274.3774756066553,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 1}","{'n_samples': 1000, 'n_features': 70, 'n_informative': 35, 'tail_strength': 0.1, 'random_state': 1}",RandomForestRegressor,0
1,1,2,0.9976558685302734,0.00021147727966308594,78154.6148326153,224.027748304338,0.19763908629412297,0.1745262232780151,117681.77643050368,274.3774756066553,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 1}","{'n_samples': 1000, 'n_features': 70, 'n_informative': 35, 'tail_strength': 0.1, 'random_state': 1}",DecisionTreeRegressor,1
2,1,3,8.837635040283203,0.018259763717651367,74321.17028528808,221.1692386899556,0.2369944855398588,0.1745262232780151,117681.77643050368,274.3774756066553,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 1}","{'n_samples': 1000, 'n_features': 70, 'n_informative': 35, 'tail_strength': 0.1, 'random_state': 1}",ForestBasedTree,2
3,2,4,10.792580842971802,0.0026597976684570312,104445.9648740479,256.94271734681837,0.2942987083749654,3.318008181535553,148863.86421214283,307.7555378809144,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 1}","{'n_samples': 10000, 'n_features': 400, 'n_informative': 40, 'tail_strength': 0.3, 'random_state': 1}",RandomForestRegressor,0
4,2,5,3.6291072368621826,0.0011911392211914062,127153.60711333921,284.4535166168205,0.14087188640676884,3.318008181535553,148863.86421214283,307.7555378809144,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 1}","{'n_samples': 10000, 'n_features': 400, 'n_informative': 40, 'tail_strength': 0.3, 'random_state': 1}",DecisionTreeRegressor,1
5,2,6,173.76265478134155,0.2092587947845459,126335.26648982425,282.7056039107415,0.14640109986848715,3.318008181535553,148863.86421214283,307.7555378809144,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 1}","{'n_samples': 10000, 'n_features': 400, 'n_informative': 40, 'tail_strength': 0.3, 'random_state': 1}",ForestBasedTree,2
6,3,7,0.11083412170410156,0.000982522964477539,99353.6878840737,255.24281720642713,0.11720420829296962,9.035683258859846,96489.86428568208,249.75859734234996,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 1}","{'n_samples': 130, 'n_features': 300, 'n_informative': 30, 'tail_strength': 0.4, 'random_state': 1}",RandomForestRegressor,0
7,3,8,0.07870769500732422,0.0002512931823730469,155296.0676427365,307.88706025954957,-0.37986538701634087,9.035683258859846,96489.86428568208,249.75859734234996,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 1}","{'n_samples': 130, 'n_features': 300, 'n_informative': 30, 'tail_strength': 0.4, 'random_state': 1}",DecisionTreeRegressor,1
8,3,9,13.932252168655396,0.0026230812072753906,124071.2928810055,250.38089816286285,-0.10242123427568894,9.035683258859846,96489.86428568208,249.75859734234996,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 1}","{'n_samples': 130, 'n_features': 300, 'n_informative': 30, 'tail_strength': 0.4, 'random_state': 1}",ForestBasedTree,2
9,4,10,0.007866621017456055,0.0006084442138671875,5867.1357511855385,64.13455964516868,0.10190393134131936,21.587342400767398,15979.868596994953,99.6832046512715,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 1}","{'n_samples': 70, 'n_features': 10, 'n_informative': 5, 'tail_strength': 0.4, 'random_state': 1}",RandomForestRegressor,0
10,4,11,0.013951301574707031,0.00011110305786132812,12183.806541360333,90.74295775279977,-0.8650035076966811,21.587342400767398,15979.868596994953,99.6832046512715,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 1}","{'n_samples': 70, 'n_features': 10, 'n_informative': 5, 'tail_strength': 0.4, 'random_state': 1}",DecisionTreeRegressor,1
11,4,12,0.8357715606689453,0.001201629638671875,6005.193524103384,66.31553878266378,0.0807711080415966,21.587342400767398,15979.868596994953,99.6832046512715,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 1}","{'n_samples': 70, 'n_features': 10, 'n_informative': 5, 'tail_strength': 0.4, 'random_state': 1}",ForestBasedTree,2
12,5,13,0.5562441349029541,0.0017192363739013672,5417.3507132133,57.90660363250654,0.766321777930042,3.508539057152306,22638.370641175017,119.9978185736475,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 1}","{'n_samples': 10000, 'n_features': 20, 'n_informative': 6, 'tail_strength': 0.2, 'random_state': 1}",RandomForestRegressor,0
13,5,14,0.3414895534515381,0.00030541419982910156,8072.190511634596,71.49886793836052,0.6518048716380961,3.508539057152306,22638.370641175017,119.9978185736475,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 1}","{'n_samples': 10000, 'n_features': 20, 'n_informative': 6, 'tail_strength': 0.2, 'random_state': 1}",DecisionTreeRegressor,1
14,5,15,62.129082441329956,0.16397452354431152,7827.8338379885645,70.07587774889599,0.6623452327982589,3.508539057152306,22638.370641175017,119.9978185736475,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 1}","{'n_samples': 10000, 'n_features': 20, 'n_informative': 6, 'tail_strength': 0.2, 'random_state': 1}",ForestBasedTree,2
15,6,16,0.018637657165527344,0.0005319118499755859,124460.11191147815,296.29269722164025,0.05652282706803369,-9.310438151949244,138143.131874215,300.88558082154566,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 1}","{'n_samples': 100, 'n_features': 70, 'n_informative': 35, 'tail_strength': 0.3, 'random_state': 1}",RandomForestRegressor,0
16,6,17,0.015038013458251953,0.00013375282287597656,215384.06746408096,416.71213860342704,-0.6327315470367842,-9.310438151949244,138143.131874215,300.88558082154566,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 1}","{'n_samples': 100, 'n_features': 70, 'n_informative': 35, 'tail_strength': 0.3, 'random_state': 1}",DecisionTreeRegressor,1
17,6,18,2.785439968109131,0.001737833023071289,177997.2796725075,348.4971885832191,-0.34931881094918293,-9.310438151949244,138143.131874215,300.88558082154566,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 1}","{'n_samples': 100, 'n_features': 70, 'n_informative': 35, 'tail_strength': 0.3, 'random_state': 1}",ForestBasedTree,2
18,7,19,0.5564923286437988,0.0016946792602539062,5291.987436887387,55.70094955272104,0.7852592861613406,0.8528176706834646,24709.925769960784,125.1479613136711,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 1}","{'n_samples': 13000, 'n_features': 15, 'n_informative': 4, 'tail_strength': 0.5, 'random_state': 1}",RandomForestRegressor,0
19,7,20,0.33848142623901367,0.000423431396484375,8761.532293786799,73.99326110517745,0.6444704902408329,0.8528176706834646,24709.925769960784,125.1479613136711,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 1}","{'n_samples': 13000, 'n_features': 15, 'n_informative': 4, 'tail_strength': 0.5, 'random_state': 1}",DecisionTreeRegressor,1
20,7,21,80.32844638824463,0.20966482162475586,7828.277629235983,68.83509219575959,0.6823405296634464,0.8528176706834646,24709.925769960784,125.1479613136711,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 1}","{'n_samples': 13000, 'n_features': 15, 'n_informative': 4, 'tail_strength': 0.5, 'random_state': 1}",ForestBasedTree,2
21,8,22,0.009364604949951172,0.0005054473876953125,23008.362384491636,125.25421461169564,0.03296536317391752,-0.7524114899313117,23299.420361553846,123.02059020802056,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 1}","{'n_samples': 70, 'n_features': 20, 'n_informative': 6, 'tail_strength': 0.6, 'random_state': 1}",RandomForestRegressor,0
22,8,23,0.014765024185180664,0.00010442733764648438,47085.57888002511,189.29973771725372,-0.9789928944565771,-0.7524114899313117,23299.420361553846,123.02059020802056,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 1}","{'n_samples': 70, 'n_features': 20, 'n_informative': 6, 'tail_strength': 0.6, 'random_state': 1}",DecisionTreeRegressor,1
23,8,24,1.2151334285736084,0.001241445541381836,28141.323864627284,129.9332465751235,-0.18277148318812397,-0.7524114899313117,23299.420361553846,123.02059020802056,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 1}","{'n_samples': 70, 'n_features': 20, 'n_informative': 6, 'tail_strength': 0.6, 'random_state': 1}",ForestBasedTree,2
