Unnamed: 0,dataset_id,experiment_id,train_time,pred_time,mse,mae,r2,target_avg,target_var,target_mad,meta_params,data_params,model_name,model_index
0,1,1,0.1383633613586425,0.0008456707000732,22206.161759208328,117.1127034362506,0.5493730723941151,-3.417874995844064,51315.18256897365,182.1320179390192,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 6}","{'n_samples': 1000, 'n_features': 50, 'n_informative': 15, 'tail_strength': 0.3, 'random_state': 6}",RandomForestRegressor,0
1,1,2,1.6620750427246094,0.0002188682556152,32185.929494962525,146.2275280211471,0.3468548649817784,-3.417874995844064,51315.18256897365,182.1320179390192,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 6}","{'n_samples': 1000, 'n_features': 50, 'n_informative': 15, 'tail_strength': 0.3, 'random_state': 6}",DecisionTreeRegressor,1
2,1,3,9.26169228553772,0.0199017524719238,33513.18023148707,147.44702641850688,0.3199211279385142,-3.417874995844064,51315.18256897365,182.1320179390192,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 6}","{'n_samples': 1000, 'n_features': 50, 'n_informative': 15, 'tail_strength': 0.3, 'random_state': 6}",ForestBasedTree,2
3,2,4,0.0795991420745849,0.000983715057373,1510.2122021153998,29.9453398916547,0.8739973824867044,0.2399918345534514,11628.964766260313,87.16167022053779,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 6}","{'n_samples': 1300, 'n_features': 20, 'n_informative': 6, 'tail_strength': 0.4, 'random_state': 6}",RandomForestRegressor,0
4,2,5,0.0514595508575439,0.0002806186676025,3649.8065898499767,47.62963339699958,0.6954830698002591,0.2399918345534514,11628.964766260313,87.16167022053779,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 6}","{'n_samples': 1300, 'n_features': 20, 'n_informative': 6, 'tail_strength': 0.4, 'random_state': 6}",DecisionTreeRegressor,1
5,2,6,11.393561601638794,0.0268912315368652,2980.646834429662,43.69257271069993,0.7513135554759889,0.2399918345534514,11628.964766260313,87.16167022053779,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 6}","{'n_samples': 1300, 'n_features': 20, 'n_informative': 6, 'tail_strength': 0.4, 'random_state': 6}",ForestBasedTree,2
6,3,7,0.1434149742126464,0.0008792877197265,88778.61978020573,238.07725715332032,0.292101002837707,-16.304597743745767,125959.10389643731,286.6977340930198,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 6}","{'n_samples': 700, 'n_features': 70, 'n_informative': 35, 'tail_strength': 0.5, 'random_state': 6}",RandomForestRegressor,0
7,3,8,0.066190481185913,0.0003063678741455,126638.611980412,288.31122038321524,-0.0097853136814181,-16.304597743745767,125959.10389643731,286.6977340930198,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 6}","{'n_samples': 700, 'n_features': 70, 'n_informative': 35, 'tail_strength': 0.5, 'random_state': 6}",DecisionTreeRegressor,1
8,3,9,8.746676445007324,0.014117956161499,119342.55754397382,268.0565622479068,0.0483916396389089,-16.304597743745767,125959.10389643731,286.6977340930198,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 6}","{'n_samples': 700, 'n_features': 70, 'n_informative': 35, 'tail_strength': 0.5, 'random_state': 6}",ForestBasedTree,2
9,4,10,0.0367953777313232,0.0006921291351318,2340.1540925344743,36.83091881545776,0.9031952696469056,-0.3298676155055473,24646.85720778126,125.0147054754414,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 6}","{'n_samples': 1000, 'n_features': 10, 'n_informative': 3, 'tail_strength': 0.6, 'random_state': 6}",RandomForestRegressor,0
