,dataset_id,experiment_id,train_time,pred_time,accuracy,meta_params,data_params,model_name,model_index
0,1,1,0.045381784439086914,0.0013203620910644531,0.66,"{'is_classification': True, 'train_test_split': 0.2, 'random_state': 6}","{'n_samples': 1000, 'n_features': 50, 'n_informative': 15, 'n_classes': 4, 'n_redundant': 10, 'n_repeated': 10, 'random_state': 6}",RandomForestClassifier,0
1,1,2,1.3465087413787842,0.00024318695068359375,0.535,"{'is_classification': True, 'train_test_split': 0.2, 'random_state': 6}","{'n_samples': 1000, 'n_features': 50, 'n_informative': 15, 'n_classes': 4, 'n_redundant': 10, 'n_repeated': 10, 'random_state': 6}",DecisionTreeClassifier,1
2,1,3,30.553102254867554,0.019179105758666992,0.295,"{'is_classification': True, 'train_test_split': 0.2, 'random_state': 6}","{'n_samples': 1000, 'n_features': 50, 'n_informative': 15, 'n_classes': 4, 'n_redundant': 10, 'n_repeated': 10, 'random_state': 6}",ForestBasedTree,2
3,1,4,5453.419259786606,4.987776517868042,0.31,"{'is_classification': True, 'train_test_split': 0.2, 'random_state': 6}","{'n_samples': 1000, 'n_features': 50, 'n_informative': 15, 'n_classes': 4, 'n_redundant': 10, 'n_repeated': 10, 'random_state': 6}",PrevPaperClassifier,3
