Unnamed: 0,dataset_id,experiment_id,train_time,pred_time,mse,mae,r2,target_avg,target_var,target_mad,meta_params,data_params,model_name,model_index
15,6,16,0.0513923168182373,0.0007214546203613,443891.9303792488,541.9377182159753,-0.2931955265319415,-61.00652736738779,446802.8885564852,531.0356165309556,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 10}","{'n_samples': 100, 'n_features': 200, 'n_informative': 100, 'tail_strength': 0.5, 'random_state': 10}",RandomForestRegressor,0
16,6,17,0.0146396160125732,0.0001184940338134,536381.7447790095,602.8230171823252,-0.5626471791658401,-61.00652736738779,446802.8885564852,531.0356165309556,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 10}","{'n_samples': 100, 'n_features': 200, 'n_informative': 100, 'tail_strength': 0.5, 'random_state': 10}",DecisionTreeRegressor,1
17,6,18,7.233494281768799,0.0021381378173828,557975.22118382,626.0547969004747,-0.6255557052683896,-61.00652736738779,446802.8885564852,531.0356165309556,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 10}","{'n_samples': 100, 'n_features': 200, 'n_informative': 100, 'tail_strength': 0.5, 'random_state': 10}",ForestBasedTree,2
18,7,19,0.0102260112762451,0.0005316734313964,2184.4611019375,32.279249335575976,0.8164025391348103,-4.799720113227181,10136.951178744375,78.34606689807697,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 10}","{'n_samples': 130, 'n_features': 10, 'n_informative': 3, 'tail_strength': 0.2, 'random_state': 10}",RandomForestRegressor,0
19,7,20,0.0149669647216796,0.0001389980316162,10810.610472867626,65.56572760761733,0.0914003314315317,-4.799720113227181,10136.951178744375,78.34606689807697,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 10}","{'n_samples': 130, 'n_features': 10, 'n_informative': 3, 'tail_strength': 0.2, 'random_state': 10}",DecisionTreeRegressor,1
20,7,21,1.2321856021881104,0.0023555755615234,2199.1567398728093,31.08795541089229,0.8151674144588323,-4.799720113227181,10136.951178744375,78.34606689807697,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 10}","{'n_samples': 130, 'n_features': 10, 'n_informative': 3, 'tail_strength': 0.2, 'random_state': 10}",ForestBasedTree,2
21,8,22,0.2381196022033691,0.0007829666137695,94202.0649322604,247.74797530344608,0.2847675709894527,-0.5892022333106616,137165.07170130717,297.82838115014744,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 10}","{'n_samples': 1000, 'n_features': 100, 'n_informative': 30, 'tail_strength': 0.6, 'random_state': 10}",RandomForestRegressor,0
22,8,23,0.028717041015625,0.0001657009124755,131336.37931113126,293.7073636219903,0.0028240075236217,-0.5892022333106616,137165.07170130717,297.82838115014744,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 10}","{'n_samples': 1000, 'n_features': 100, 'n_informative': 30, 'tail_strength': 0.6, 'random_state': 10}",DecisionTreeRegressor,1
23,8,24,12.1793475151062,0.0206818580627441,108833.37791409236,261.2660202909825,0.1736788222328906,-0.5892022333106616,137165.07170130717,297.82838115014744,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 10}","{'n_samples': 1000, 'n_features': 100, 'n_informative': 30, 'tail_strength': 0.6, 'random_state': 10}",ForestBasedTree,2
24,9,25,0.0225269794464111,0.0007581710815429,25125.29233420898,129.3386398811245,0.2976713777224755,0.7703409625190524,48006.00055604747,183.29202102270148,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 10}","{'n_samples': 130, 'n_features': 50, 'n_informative': 25, 'tail_strength': 0.2, 'random_state': 10}",RandomForestRegressor,0
25,9,26,0.0143423080444335,0.0001156330108642,41960.33352452054,172.79496003650883,-0.17291941691988,0.7703409625190524,48006.00055604747,183.29202102270148,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 10}","{'n_samples': 130, 'n_features': 50, 'n_informative': 25, 'tail_strength': 0.2, 'random_state': 10}",DecisionTreeRegressor,1
26,9,27,3.20773983001709,0.0023329257965087,44681.885624305374,184.3472756524229,-0.2489951063595574,0.7703409625190524,48006.00055604747,183.29202102270148,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 10}","{'n_samples': 130, 'n_features': 50, 'n_informative': 25, 'tail_strength': 0.2, 'random_state': 10}",ForestBasedTree,2
27,10,28,2.1089529991149902,0.0018372535705566,7115.295883546064,65.25011841147318,0.7777694183464425,-0.5229534251552302,31535.729925261,141.1490768799952,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 10}","{'n_samples': 10000, 'n_features': 70, 'n_informative': 7, 'tail_strength': 0.5, 'random_state': 10}",RandomForestRegressor,0
28,10,29,0.2827446460723877,0.0005123615264892,20320.16418062013,113.47818343764996,0.3653444664757261,-0.5229534251552302,31535.729925261,141.1490768799952,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 10}","{'n_samples': 10000, 'n_features': 70, 'n_informative': 7, 'tail_strength': 0.5, 'random_state': 10}",DecisionTreeRegressor,1
29,10,30,81.24575662612915,0.3047165870666504,11332.808507089718,83.92420237243408,0.6460447088190823,-0.5229534251552302,31535.729925261,141.1490768799952,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 10}","{'n_samples': 10000, 'n_features': 70, 'n_informative': 7, 'tail_strength': 0.5, 'random_state': 10}",ForestBasedTree,2
