Unnamed: 0,dataset_id,experiment_id,train_time,pred_time,mse,mae,r2,target_avg,target_var,target_mad,meta_params,data_params,model_name,model_index
0,1,1,0.3830926418304443,0.0013656616210937,328713.6394780874,444.7443599914666,0.1287834047748447,-25.089704539686604,388917.70573344536,495.26936490264814,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 9}","{'n_samples': 700, 'n_features': 200, 'n_informative': 100, 'tail_strength': 0.4, 'random_state': 9}",RandomForestRegressor,0
1,1,2,1.7244505882263184,0.000364065170288,419260.237289996,515.7092589964648,-0.1111996357225397,-25.089704539686604,388917.70573344536,495.26936490264814,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 9}","{'n_samples': 700, 'n_features': 200, 'n_informative': 100, 'tail_strength': 0.4, 'random_state': 9}",DecisionTreeRegressor,1
2,1,3,15.672130584716797,0.0130705833435058,378319.6778883839,481.2057229996079,-0.0026915287114723,-25.089704539686604,388917.70573344536,495.26936490264814,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 9}","{'n_samples': 700, 'n_features': 200, 'n_informative': 100, 'tail_strength': 0.4, 'random_state': 9}",ForestBasedTree,2
3,2,4,2.019804716110229,0.0016314983367919,73616.38579538556,217.6995169156432,0.3734777099161684,-0.1588173917625104,115194.22461952482,272.67544152549647,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 9}","{'n_samples': 7000, 'n_features': 100, 'n_informative': 30, 'tail_strength': 0.6, 'random_state': 9}",RandomForestRegressor,0
4,2,5,0.7854456901550293,0.000422716140747,92540.40098691336,240.71796089577504,0.21242229803638,-0.1588173917625104,115194.22461952482,272.67544152549647,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 9}","{'n_samples': 7000, 'n_features': 100, 'n_informative': 30, 'tail_strength': 0.6, 'random_state': 9}",DecisionTreeRegressor,1
5,2,6,66.01208019256592,0.1368408203125,96821.36973825665,248.2328825423164,0.1759885296994805,-0.1588173917625104,115194.22461952482,272.67544152549647,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 9}","{'n_samples': 7000, 'n_features': 100, 'n_informative': 30, 'tail_strength': 0.6, 'random_state': 9}",ForestBasedTree,2
6,3,7,7.847805976867676,0.0025491714477539,326933.7707832238,457.378941359391,0.1439913413919429,-11.13921502162624,388898.9041583406,499.1719194798087,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 9}","{'n_samples': 13000, 'n_features': 200, 'n_informative': 100, 'tail_strength': 0.1, 'random_state': 9}",RandomForestRegressor,0
7,3,8,1.2611360549926758,0.0009417533874511,373274.94168338185,489.311852876573,0.0226565418527617,-11.13921502162624,388898.9041583406,499.1719194798087,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 9}","{'n_samples': 13000, 'n_features': 200, 'n_informative': 100, 'tail_strength': 0.1, 'random_state': 9}",DecisionTreeRegressor,1
8,3,9,165.50349926948547,0.2164311408996582,373948.6752771135,490.35180993896194,0.0208925093747227,-11.13921502162624,388898.9041583406,499.1719194798087,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 9}","{'n_samples': 13000, 'n_features': 200, 'n_informative': 100, 'tail_strength': 0.1, 'random_state': 9}",ForestBasedTree,2
9,4,10,1.3651907444000244,0.0016591548919677,46694.26671678983,172.79573819226457,0.4452586803646875,-1.0601882762531911,86461.33478273214,234.73894371998404,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 9}","{'n_samples': 10000, 'n_features': 50, 'n_informative': 25, 'tail_strength': 0.1, 'random_state': 9}",RandomForestRegressor,0
10,4,11,0.5549938678741455,0.0003767013549804,61224.002341142535,198.9837648687432,0.272641241845037,-1.0601882762531911,86461.33478273214,234.73894371998404,"{'is_classification': False, 'train_test_split': 0.2, 'random_state': 9}","{'n_samples': 10000, 'n_features': 50, 'n_informative': 25, 'tail_strength': 0.1, 'random_state': 9}",DecisionTreeRegressor,1
